blockNumber,answer,totalSupply,diff
22387250,9213709924716500050968261,9234531743208989078971385,-20821818492489028003124
22389075,9212433709112694078971385,9198020633300888099211855,14413075811805979759530
22390900,9193544269544212242065307,9199082625904684242065307,-5538356360472000000000
22392725,9193758179791543659611509,9199421719275949659611509,-5663539484406000000000
22394550,9194046012322322893044694,9199701647665272893044694,-5655635342950000000000
22396375,9191376724199065815817781,9191417146763732953223722,-40422564667137405941
22398200,9191510681149296569491319,9191664938949109828991334,-154257799813259500015
22400025,9192134415345747178208715,9192452663147774178208715,-318247802027000000000
22401850,9192896784175804380296394,9193392124894745353710635,-495340718940973414241
22403675,9188565922010263278801094,9191164858310646367926067,-2598936300383089124973
22405500,9186117558891339572667614,9191267082450591991198636,-5149523559252418531022
22407325,9176305862027424587238876,9191881421749862268941430,-15575559722437681702554
22409150,9176569883311911616578317,9192113699991980819282781,-15543816680069202704464
22410975,9175588918086871513553339,9175640298372001341980273,-51380285129828426934
22412800,9177108897179849417109163,9177272691530144177341717,-163794350294760232554
22414625,9177458099229030938275115,9177662793459683215809417,-204694230652277534302
22416450,9177946744985582029991067,9178287066363660108533183,-340321378078078542116
22418275,9176436089980406649426941,9176537032029734512124689,-100942049327862697748
22420100,9172930376828103539946409,9177627051202894693896268,-4696674374791153949859
22421925,9171896393002910010922046,9177847374975359581355574,-5950981972449570433528
22423750,9172377175360898041103293,9178387707068866712242075,-6010531707968671138782
22425575,9170218899745300525443157,9171374842727766067682508,-1155942982465542239351
22427400,9171816240784442126120765,9172237341701476354020933,-421100917034227900168
22429225,9172516197889757118121173,9172343779254122109998440,172418635635008122733
22431050,9172935300923902083176899,9172875315730972282951927,59985192929800224972
22432875,9174044138619496741460775,9170768456573266913474056,3275682046229827986719
22434700,9173612474264038796466257,9174011607671253644105867,-399133407214847639610
22436525,9177454479427240950875777,9177277132602916960318898,177346824323990556879
22438350,9177975038890923006159076,9177574149411470210810521,400889479452795348555
22440175,9171221113907724887327340,9174212001354923076386744,-2990887447198189059404
22442000,9174988748390551075746938,9176612967087034318739592,-1624218696483242992654
22443825,9176962046595408195026557,9178138688406590894897506,-1176641811182699870949
22445650,9178914747774336580017083,9187505532009015375765404,-8590784234678795748321
22447475,9172030605737800547162213,9172513320155307211433020,-482714417506664270807
22449300,9166525451564133309543093,9172968801995514110248965,-6443350431380800705872
22451125,9158420966323966039549674,9177427921728546946792622,-19006955404580907242948
22452950,9153697727823226440508806,9179778113456636708186531,-26080385633410267677725
22454775,9150705836846062695012916,9143360108071695750746367,7345728774366944266549
22456600,9140384935428798664277173,9146041682866802569123707,-5656747438003904846534
22458425,9133261988649173022158501,9147766559835222885764791,-14504571186049863606290
22460250,9133249867423849885764791,9128451820914671850689170,4798046509178035075621
22462075,9130484206114074423750102,9130670138580391541826764,-185932466317118076662
22463900,9132862470383347676136796,9133222531128054449158702,-360060744706773021906
22465725,9134971992686100790629273,9135481066761806890726623,-509074075706100097350
22467550,9138116020932721001117435,9138804021931482284688641,-688000998761283571206
22469375,9135391256397857548384814,9135638494148462639094778,-247237750605090709964
22471200,9139212334293521610902034,9140480219437960072697895,-1267885144438461795861
22473025,9138561961334529862487443,9141928279418551339059319,-3366318084021476571876
22474850,9124212796335364926403241,9124611489840972253698015,-398693505607327294774
22476675,9125224644211393028010511,9125536064970549095920900,-311420759156067910389
22478500,9126102519809423001666288,9126528280627244140947085,-425760817821139280797
22480325,9128455064554078942182657,9128584837904174528851341,-129773350095586668684
22482150,9125860237705286991728605,9126063577125823108034739,-203339420536116306134
22483975,9126622269142186631018994,9126508281185303173760300,113987956883457258694
22485800,9128910053196642364429081,9130787698205758977541113,-1877645009116613112032
22487625,9129386298498311372958306,9131812674997772984920637,-2426376499461611962331
22489450,9122160285088601662812305,9122641432689396612388836,-481147600794949576531
22491275,9123850502908752165917309,9124042581612536026056485,-192078703783860139176
22493100,9124743768981201918784194,9125449718408903406863785,-705949427701488079591
22494925,9126856571446778874914444,9133718306458533675844718,-6861735011754800930274
22496750,9122693462209684191830611,9125916045744685636580769,-3222583535001444750158
22498575,9126059513739249471818314,9126373161575209867743160,-313647835960395924846
22500400,9126315884474525850861363,9128188661822925951069325,-1872777348400100207962
22502225,9128091959921755476411816,9128452796178603849442846,-360836256848373031030
22504050,9121628239536983765452813,9121865731989982779552485,-237492452999014099672
22505875,9122177676622352181778286,9122297571158625456329160,-119894536273274550874
22507700,9122775827105998067519268,9122780969985319529055662,-5142879321461536394
22509525,9123105277693354223178527,9122887961330397530272571,217316362956692905956
22511350,9122788791781363073337866,9123259191361621241628470,-470399580258168290604
22513175,9123544785629308809390779,9123489236833188838326901,55548796119971063878
22515000,9123977610858144246731726,9124457046721395080680304,-479435863250833948578
22516825,9084452932107321690997666,9126230731957633690997666,-41777799850312000000000
22518650,9068515484537748220713151,9080738195169073724527693,-12222710631325503814542
22520475,9061258404956276138158055,9082970118405296060645204,-21711713449019922487149
22522300,9054581522171554603965103,9083120940575823707935884,-28539418404269103970781
22524125,9035689841427324791990723,9026012881083753355340000,9676960343571436650723
22525950,9026012950696541669001624,9026259115784826586001305,-246165088284916999681
22527775,9026883027836504956154958,9027090056386221381548502,-207028549716425393544
22529600,9026943130189280814414408,9027557154494779667570625,-614024305498853156217
22531425,9027159731198505200924235,9025639495542570356342455,1520235655934844581780
22533250,9025623385579582382066937,9026112178850128548840936,-488793270546166773999
22535075,9025944577215198762024054,9026327033135837241004847,-382455920638478980793
22536900,9025894620976361057083302,9026463420621542655037245,-568799645181597953943
22538725,9018906968706852987179761,9018649705122049679348877,257263584803307830884
22540550,9011771263780044791201483,9019362095595026241043402,-7590831814981449841919
22542375,9005239172808831241043402,9021374693778565335900771,-16135520969734094857369
22544200,9007292200093117016610005,9022497752604003205037636,-15205552510886188427631
22546025,9004800602878871673310333,9004827572101211673310333,-26969222340000000000
22547850,9005167476646776872784716,9005062125277732872784716,105351369044000000000
22549675,9005442399292704797653472,9005169464006293197653472,272935286411600000000
22551500,8999849121988623397939170,9005447658591555641132671,-5598536602932243193501
22553325,8998670267675878583588747,8998634098701531550573417,36168974347033015330
22555150,8997919076141108350714066,8999916812056894477884985,-1997735915786127170919
22556975,8998178154302373769770303,9000162351388580989931851,-1984197086207220161548
22558800,8998499096056904297150789,9000380337032379481170365,-1881240975475184019576
22560625,8997486638896826092972309,8997556578148508317934710,-69939251682224962401
22562450,8997153913687444344022711,8997814483131646561133972,-660569444202217111261
22564275,8999650754436208008206746,9000201735728169950947735,-550981291961942740989
22566100,9000000763306820979071520,9000413861652334868987822,-413098345513889916302
22567925,8997268155512053410249957,8997371750095458634032742,-103594583405223782785
22569750,8997834377681267362966712,8997720984518260763455908,113393163006599510804
22571575,8998093729907900456979535,8997851239821379064508743,242490086521392470792
22573400,8998425424466671033073640,8998098724830380396564170,326699636290636509470
22575225,8997196033311921250854078,8997315612034042755847809,-119578722121504993731
