blockNumber,answer,totalSupply,diff
22476675,4546218808841,3155620397287,1390598411554
22478500,4546218808841,3148252708645,1397966100196
22480325,4541658334924,3148252708645,1393405626279
22482150,4541658334924,3139282562535,1402375772389
22483975,4594133409609,3213028615568,1381104794041
22485800,4594133409609,3216792014891,1377341394718
22487625,4594133409609,3121930616524,1472202793085
22489450,4359945514432,2924103601642,1435841912790
22491275,4343688661363,2958735680143,1384952981220
22493100,4343249527366,2952608070404,1390641456962
22494925,4343249527366,2956016843947,1387232683419
22496750,4343249527366,2958941113997,1384308413369
22498575,4260464123649,2835787351805,1424676771844
22500400,4260464123649,2835787351805,1424676771844
22502225,4192695864439,2835787351805,1356908512634
22504050,4225151543150,2832000765583,1393150777567
22505875,4225151543150,2832000765583,1393150777567
22507700,4225151543150,2832000765583,1393150777567
22509525,4225151543150,2836411179100,1388740364050
22511350,4237961153726,2836411179100,1401549974626
22513175,4237961153726,2836411179100,1401549974626
22515000,4237961153726,2831280578549,1406680575177
22516825,4250522607042,2831280578549,1419242028493
22518650,4250522607042,2820467702517,1430054904525
22520475,4250522607042,2823774071532,1426748535510
22522300,4250522607042,2823774071532,1426748535510
22524125,4273371281393,2844008180039,1429363101354
22525950,4273371281393,2842277758134,1431093523259
22527775,4273371281393,2837011880033,1436359401360
22529600,4273371281393,2840317968144,1433053313249
22531425,4273652332693,2788927217153,1484725115540
22533250,4226022577505,2698830393619,1527192183886
22535075,4226022577505,2698830393619,1527192183886
22536900,4226022577505,2698830393619,1527192183886
22538725,4170633579267,2723637865629,1446995713638
22540550,4175963326261,2723124337051,1452838989210
22542375,4142258525730,2696461175442,1445797350288
22544200,4155417791544,2709445913032,1445971878512
22546025,4178474981212,2720052630148,1458422351064
22547850,4178474981212,2722622690650,1455852290562
22549675,4200667909163,2729179719734,1471488189429
22551500,4200667909163,2727379406970,1473288502193
22553325,4200667909163,2727379406970,1473288502193
22555150,4200667909163,2727379406970,1473288502193
22556975,4214018745780,2730126899049,1483891846731
22558800,4214018745780,2746825509796,1467193235984
22560625,4237678020067,2749904482830,1487773537237
22562450,4237678020067,2749904482830,1487773537237
22564275,4237678020067,2743941509730,1493736510337
22566100,4237678020067,2743941509730,1493736510337
22567925,4239127055769,2743941509730,1495185546039
22569750,4239127055769,2743941509730,1495185546039
22571575,4239127055769,2746889016413,1492238039356
22573400,4239127055769,2752566704212,1486560351557
22575225,4230976664699,2733976124541,1497000540158
22577050,4295946460296,2779781678222,1516164782074
22578875,4295946460296,2782527455084,1513419005212
22580700,4295946460296,2785280059253,1510666401043
22582525,4293456997673,2768040558714,1525416438959
22584350,4268312864609,2735963615327,1532349249282
22586175,4268312864609,2742657860969,1525655003640
22588000,4268312864609,2746712772236,1521600092373
22589825,4268312864609,2750361219264,1517951645345
22591650,4302898703040,2763433193280,1539465509760
22593475,4302898703040,2763433193280,1539465509760
22595300,4302898703040,2761699976500,1541198726540
22597125,4302898703040,2771039100520,1531859602520
22598950,4325523201480,2773976920697,1551546280783
22600775,4325523201480,2768422744158,1557100457322
22602600,4325523201480,2762192033478,1563331168002
22604425,4325523201480,2762192033478,1563331168002
22606250,4322777393389,2762192033478,1560585359911
22608075,4322777393389,2762192033478,1560585359911
22609900,4322777393389,2762192033478,1560585359911
22611725,4320504935062,2762192033478,1558312901584
22613550,4320504935062,2756864052789,1563640882273
22615375,4320504935062,2756864052789,1563640882273
22617200,4320504935062,2756864052789,1563640882273
22619025,4423589731731,2742161382126,1681428349605
22620850,4423589731731,2742161382126,1681428349605
